0,1,9.0437e-12,2.3268e-11,5.5511e-17,9.0437e-12,1,2.3924e-10,3.3307e-16,2.3268e-11,2.3924e-10,1,-4.4409e-16
0.10374,1,0.00052726,-0.0020669,-0.046903,-0.00052965,1,-0.0011549,-0.028399,0.0020663,0.001156,1,0.85869
0.20734,0.99999,0.001049,-0.0041313,-0.093743,-0.0010585,1,-0.0023081,-0.056761,0.0041289,0.0023125,0.99999,1.7163
0.31108,0.99998,0.0015665,-0.0061986,-0.14064,-0.001588,0.99999,-0.0034627,-0.085158,0.0061931,0.0034725,0.99997,2.575
0.41469,0.99996,0.0020785,-0.0082635,-0.18749,-0.0021167,0.99999,-0.0046158,-0.11352,0.0082538,0.0046331,0.99996,3.4326
0.51843,0.99994,0.0025862,-0.010331,-0.23438,-0.0026459,0.99998,-0.0057702,-0.14192,0.010316,0.0057972,0.99993,4.2913
0.62204,0.99992,0.0030884,-0.012396,-0.28122,-0.0031743,0.99997,-0.006923,-0.17027,0.012374,0.0069618,0.9999,5.149
0.7258,0.99989,0.0035863,-0.014464,-0.32812,-0.0037034,0.99996,-0.0080772,-0.19867,0.014434,0.0081299,0.99986,6.0078
0.82942,0.99986,0.0040787,-0.016529,-0.37495,-0.0042317,0.99995,-0.0092298,-0.22703,0.016491,0.0092984,0.99982,6.8655
0.93315,0.99982,0.0045667,-0.018597,-0.42184,-0.0047603,0.99993,-0.010383,-0.25542,0.018548,0.01047,0.99977,7.724
1.0369,0.99977,0.0050499,-0.020665,-0.46873,-0.0052891,0.99992,-0.011537,-0.28381,0.020605,0.011644,0.99972,8.5829
1.1405,0.99973,0.0055273,-0.022729,-0.51555,-0.0058168,0.9999,-0.012689,-0.31215,0.022657,0.012818,0.99966,9.4403
1.2442,0.99967,0.0060005,-0.024797,-0.56243,-0.0063452,0.99988,-0.013842,-0.34054,0.024711,0.013995,0.9996,10.299
1.348,0.99962,0.0064688,-0.026864,-0.60931,-0.0068734,0.99986,-0.014996,-0.36893,0.026764,0.015175,0.99953,11.158
1.4516,0.99956,0.0070584,-0.028942,-0.65621,-0.0075304,0.99984,-0.016232,-0.3974,0.028823,0.016443,0.99945,12.015
1.5552,0.99951,0.0055953,-0.030815,-0.70188,-0.0060937,0.99985,-0.016103,-0.42391,0.03072,0.016283,0.9994,12.87
1.659,0.99942,0.0078428,-0.033062,-0.74982,-0.0084561,0.99979,-0.018452,-0.454,0.03291,0.018721,0.99928,13.731
1.7626,0.99936,0.0087044,-0.034734,-0.79925,-0.0094394,0.99973,-0.021054,-0.48408,0.034541,0.021369,0.99917,14.6
1.8663,0.99925,0.012357,-0.036748,-0.85466,-0.013207,0.99965,-0.022975,-0.51551,0.036452,0.023443,0.99906,15.48
1.9699,0.99918,0.013523,-0.038098,-0.90729,-0.014392,0.99964,-0.022624,-0.54647,0.037778,0.023154,0.99902,16.369
2.0737,0.99912,0.013288,-0.03968,-0.96092,-0.014126,0.99968,-0.020921,-0.57836,0.039389,0.021463,0.99899,17.269
2.1773,0.99906,0.013514,-0.04118,-1.0116,-0.014324,0.99971,-0.019439,-0.60924,0.040906,0.020011,0.99896,18.173
2.281,0.99902,0.013048,-0.042357,-1.0663,-0.013861,0.99972,-0.018956,-0.63874,0.042098,0.019524,0.99892,19.084
2.3846,0.99894,0.01326,-0.04412,-1.1187,-0.014135,0.99971,-0.019579,-0.66862,0.043847,0.020182,0.99883,19.997
2.4882,0.99891,0.011529,-0.045189,-1.1718,-0.012478,0.99971,-0.02078,-0.69908,0.044936,0.021321,0.99876,20.914
2.592,0.99888,0.011289,-0.04595,-1.2243,-0.012181,0.99974,-0.019188,-0.72874,0.045722,0.019726,0.99876,21.84
2.6958,0.99886,0.012994,-0.045949,-1.2808,-0.013708,0.99979,-0.015256,-0.76047,0.045741,0.015869,0.99883,22.774
2.7994,0.99889,0.01379,-0.045095,-1.3348,-0.014326,0.99983,-0.011569,-0.79297,0.044928,0.012202,0.99892,23.71
2.9031,0.99896,0.012852,-0.043636,-1.3857,-0.013257,0.99987,-0.0090078,-0.82092,0.043514,0.0095769,0.99901,24.652
